Score,CandidateLipidClassType,SpectrumLipidClassType,Type
140.879133912596,LMSP0201,LMSP0201,fg
110.541285439283,LMSP0201,LMSP0201,fg
106.278336452067,LMSP0201,LMSP0201,fg
102.151760348282,LMSP0201,LMSP0201,fg
644.112683741186,LMSP0202,LMSP0202,fg
509.169386404785,LMSP0202,LMSP0202,fg
549.309093781589,LMSP0202,LMSP0202,fg
123.20082653884,LMSP0201,LMSP0201,fg
392.114532472705,LMSP0202,LMSP0202,fg
394.287730435392,LMSP0202,LMSP0202,fg
231.151571616265,LMSP0201,LMSP0201,fg
131.607213407934,LMSP0201,LMSP0201,fg
123.888192657043,LMSP0201,LMSP0201,fg
145.882921264734,LMSP0201,LMSP0201,fg
122.776510794786,LMSP0201,LMSP0201,fg
95.9218628341698,LMSP0201,LMSP0201,fg
526.036647050819,LMSP0202,LMSP0202,fg
575.76661642316,LMSP0202,LMSP0202,fg
544.761718275354,LMSP0202,LMSP0202,fg
123.07335977518,LMSP0201,LMSP0201,fg
145.032443457311,LMSP0201,LMSP0201,fg
191.667752472221,LMSP0201,LMSP0201,fg
196.979831090002,LMSP0201,LMSP0201,fg
165.288154177451,LMSP0201,LMSP0201,fg
426.601235872853,LMSP0202,LMSP0202,fg
445.30619568641,LMSP0202,LMSP0202,fg
130.025991383202,LMSP0201,LMSP0201,fg
136.93540625362,LMSP0201,LMSP0201,fg
126.100459455538,LMSP0201,LMSP0201,fg
103.892788963295,LMSP0201,LMSP0201,fg
103.031531263487,LMSP0201,LMSP0201,fg
95.4934993454015,LMSP0201,LMSP0201,fg
536.794911264369,LMSP0202,LMSP0202,fg
592.917742878252,LMSP0202,LMSP0202,fg
151.80096892197,LMSP0201,LMSP0201,fg
191.980843410536,LMSP0201,LMSP0201,fg
192.522422065924,LMSP0201,LMSP0201,fg
200.254433263371,LMSP0201,LMSP0201,fg
445.246335908906,LMSP0202,LMSP0202,fg
138.272771327091,LMSP0201,LMSP0201,fg
137.425068868111,LMSP0201,LMSP0201,fg
142.776445658891,LMSP0201,LMSP0201,fg
125.72249432995,LMSP0201,LMSP0201,fg
18.4710316985638,LMGP0101,LMGP0101,fg
14.5440957436602,LMGP0101,LMGP0101,fg
103.768952034824,LMGP0101,LMGP0101,fg
40.1580025084151,LMGP0101,LMGP0101,fg
18.6697686519834,LMGP0101,LMGP0101,fg
17.5040851595053,LMGP0101,LMGP0101,fg
19.3403976716374,LMGP0101,LMGP0101,fg
22.3193745108525,LMGP0101,LMGP0101,fg
354.881255739399,LMGP0101,LMGP0101,fg
462.615594854786,LMGP0101,LMGP0101,fg
14.6078100819054,LMGP0101,LMGP0101,fg
14.6078102564524,LMGP0101,LMGP0101,fg
14.6078148298695,LMGP0101,LMGP0101,fg
23.7508027617033,LMGP0101,LMGP0101,fg
14.5430561380262,LMGP0101,LMGP0101,fg
14.5430397031611,LMGP0101,LMGP0101,fg
16.7601139789081,LMGP0101,LMGP0101,fg
127.113266852961,LMGP0101,LMGP0101,fg
35.6030793000971,LMGP0101,LMGP0101,fg
17.504086832714,LMGP0101,LMGP0101,fg
22.6121497526755,LMGP0101,LMGP0101,fg
431.072133393899,LMGP0101,LMGP0101,fg
429.633402220136,LMGP0101,LMGP0101,fg
19.6810021479766,LMGP0101,LMGP0101,fg
19.1745569657789,LMGP0101,LMGP0101,fg
14.6078073857836,LMGP0101,LMGP0101,fg
22.3512382928826,LMGP0101,LMGP0101,fg
22.4921611191675,LMGP0101,LMGP0101,fg
14.8014149911401,LMGP0101,LMGP0101,fg
14.5430444483056,LMGP0101,LMGP0101,fg
16.7601309875189,LMGP0101,LMGP0101,fg
35.5868542415635,LMGP0101,LMGP0101,fg
118.064131556363,LMGP0101,LMGP0101,fg
18.6697668049491,LMGP0101,LMGP0101,fg
17.5040965675275,LMGP0101,LMGP0101,fg
27.8767643389266,LMGP0101,LMGP0101,fg
28.161303593652,LMGP0101,LMGP0101,fg
371.381087869709,LMGP0101,LMGP0101,fg
437.799004227612,LMGP0101,LMGP0101,fg
14.6078491651138,LMGP0101,LMGP0101,fg
14.6078279860998,LMGP0101,LMGP0101,fg
14.6078033571445,LMGP0101,LMGP0101,fg
24.5184617223061,LMGP0101,LMGP0101,fg
18.4710298816441,LMGP0101,LMGP0101,fg
16.7600998154649,LMGP0101,LMGP0101,fg
38.2302520964489,LMGP0101,LMGP0101,fg
18.6697646143328,LMGP0101,LMGP0101,fg
17.5040984481857,LMGP0101,LMGP0101,fg
22.8294582607833,LMGP0101,LMGP0101,fg
27.1832152890025,LMGP0101,LMGP0101,fg
450.643907289339,LMGP0101,LMGP0101,fg
18.9743527338265,LMGP0101,LMGP0101,fg
14.6078066552411,LMGP0101,LMGP0101,fg
14.6077816799484,LMGP0101,LMGP0101,fg
18.4814569249243,LMGP0101,LMGP0101,fg
18.1734703086109,LMGP0101,LMGP0101,fg
14.5430263811981,LMGP0101,LMGP0101,fg
16.7600971642487,LMGP0101,LMGP0101,fg
133.220741125008,LMGP0101,LMGP0101,fg
36.1593158530538,LMGP0101,LMGP0101,fg
36.3220559156636,LMGP0101,LMGP0101,fg
18.6697703350112,LMGP0101,LMGP0101,fg
18.6697678381855,LMGP0101,LMGP0101,fg
22.9129748977795,LMGP0101,LMGP0101,fg
19.0845949267764,LMGP0101,LMGP0101,fg
23.3126805457625,LMGP0101,LMGP0101,fg
444.149333147982,LMGP0101,LMGP0101,fg
436.79520161257,LMGP0101,LMGP0101,fg
19.2400109820157,LMGP0101,LMGP0101,fg
23.5494500256247,LMGP0101,LMGP0101,fg
18.8682386783159,LMGP0101,LMGP0101,fg
461.077251101476,LMGP0201,LMGP0201,fg
454.258953829177,LMGP0201,LMGP0201,fg
357.484924938336,LMGP0201,LMGP0201,fg
382.079738076326,LMGP0201,LMGP0201,fg
324.309970004226,LMGP0201,LMGP0201,fg
405.327932394548,LMGP0201,LMGP0201,fg
459.650375701305,LMGP0201,LMGP0201,fg
457.218332494324,LMGP0201,LMGP0201,fg
445.262234287295,LMGP0201,LMGP0201,fg
465.166893636546,LMGP0201,LMGP0201,fg
447.179111349941,LMGP0201,LMGP0201,fg
447.705315350164,LMGP0201,LMGP0201,fg
467.335717351742,LMGP0201,LMGP0201,fg
458.441615019569,LMGP0201,LMGP0201,fg
455.401794410587,LMGP0201,LMGP0201,fg
459.065802566705,LMGP0201,LMGP0201,fg
440.518101512103,LMGP0201,LMGP0201,fg
442.947325423005,LMGP0201,LMGP0201,fg
451.651016998412,LMGP0201,LMGP0201,fg
457.306094746141,LMGP0201,LMGP0201,fg
383.529680341361,LMGP0201,LMGP0201,fg
405.466903488583,LMGP0201,LMGP0201,fg
452.343642768284,LMGP0201,LMGP0201,fg
458.602100698072,LMGP0201,LMGP0201,fg
454.934007872533,LMGP0201,LMGP0201,fg
453.176974866969,LMGP0201,LMGP0201,fg
448.410414341782,LMGP0201,LMGP0201,fg
454.75372442714,LMGP0201,LMGP0201,fg
470.069137038096,LMGP0201,LMGP0201,fg
459.841520046975,LMGP0201,LMGP0201,fg
456.487485231023,LMGP0201,LMGP0201,fg
465.122592078783,LMGP0201,LMGP0201,fg
457.501944741843,LMGP0201,LMGP0201,fg
454.656425853958,LMGP0201,LMGP0201,fg
452.911228075483,LMGP0201,LMGP0201,fg
443.766240274869,LMGP0201,LMGP0201,fg
444.565149829892,LMGP0201,LMGP0201,fg
376.33311802485,LMGP0201,LMGP0201,fg
324.310898317744,LMGP0201,LMGP0201,fg
395.942506405625,LMGP0201,LMGP0201,fg
397.537452525066,LMGP0201,LMGP0201,fg
447.642135346003,LMGP0201,LMGP0201,fg
469.029293859561,LMGP0201,LMGP0201,fg
457.844137692589,LMGP0201,LMGP0201,fg
468.275414409127,LMGP0201,LMGP0201,fg
451.67400897145,LMGP0201,LMGP0201,fg
466.336340149659,LMGP0201,LMGP0201,fg
477.333787721415,LMGP0201,LMGP0201,fg
453.488345164527,LMGP0201,LMGP0201,fg
453.543302923457,LMGP0201,LMGP0201,fg
462.562011629863,LMGP0201,LMGP0201,fg
453.899347076035,LMGP0201,LMGP0201,fg
457.811499630738,LMGP0201,LMGP0201,fg
450.712852219465,LMGP0201,LMGP0201,fg
434.216767281943,LMGP0201,LMGP0201,fg
383.067438793084,LMGP0201,LMGP0201,fg
323.824104079546,LMGP0201,LMGP0201,fg
324.309881194252,LMGP0201,LMGP0201,fg
403.981587317058,LMGP0201,LMGP0201,fg
406.733683443673,LMGP0201,LMGP0201,fg
444.857521895911,LMGP0201,LMGP0201,fg
460.574081368662,LMGP0201,LMGP0201,fg
439.116438486007,LMGP0201,LMGP0201,fg
465.590332608732,LMGP0201,LMGP0201,fg
452.433612481963,LMGP0201,LMGP0201,fg
466.552585151792,LMGP0201,LMGP0201,fg
450.118173894017,LMGP0201,LMGP0201,fg
450.467365254293,LMGP0201,LMGP0201,fg
466.582325353404,LMGP0201,LMGP0201,fg
439.629331613805,LMGP0201,LMGP0201,fg
444.606359119002,LMGP0201,LMGP0201,fg
443.722823734595,LMGP0201,LMGP0201,fg
436.683434072034,LMGP0201,LMGP0201,fg
381.87676202191,LMGP0201,LMGP0201,fg
350.45949746073,LMGP0201,LMGP0201,fg
373.828682365937,LMGP0201,LMGP0201,fg
394.59852982998,LMGP0201,LMGP0201,fg
401.227368569729,LMGP0201,LMGP0201,fg
444.634822171501,LMGP0201,LMGP0201,fg
462.247047747844,LMGP0201,LMGP0201,fg
444.495281891936,LMGP0201,LMGP0201,fg
455.267026371673,LMGP0201,LMGP0201,fg
451.063498388788,LMGP0201,LMGP0201,fg
476.197270291663,LMGP0201,LMGP0201,fg
454.524545015706,LMGP0201,LMGP0201,fg
451.938983048857,LMGP0201,LMGP0201,fg
467.274477759571,LMGP0201,LMGP0201,fg
442.522765096471,LMGP0201,LMGP0201,fg
306.889204568369,LMGP0601,LMGP0601,fg
302.882117457148,LMGP0601,LMGP0601,fg
300.810400751174,LMGP0601,LMGP0601,fg
303.216772011898,LMGP0601,LMGP0601,fg
284.334816741374,LMGP0601,LMGP0601,fg
326.379964068063,LMGP0601,LMGP0601,fg
310.24132381892,LMGP0601,LMGP0601,fg
328.624086612902,LMGP0601,LMGP0601,fg
290.853879852073,LMGP0601,LMGP0601,fg
330.274907700084,LMGP0601,LMGP0601,fg
294.492622469344,LMGP0601,LMGP0601,fg
289.30444192498,LMGP0601,LMGP0601,fg
291.401007437154,LMGP0601,LMGP0601,fg
313.319110801903,LMGP0601,LMGP0601,fg
302.831753178568,LMGP0601,LMGP0601,fg
306.760408890846,LMGP0601,LMGP0601,fg
15.993119171696,LMGP0301,LMGP0301,fg
316.3999730763,LMGP0601,LMGP0601,fg
323.304897767422,LMGP0601,LMGP0601,fg
298.785931991729,LMGP0601,LMGP0601,fg
305.544215479198,LMGP0601,LMGP0601,fg
304.345286779416,LMGP0601,LMGP0601,fg
307.072037665066,LMGP0601,LMGP0601,fg
301.200066456684,LMGP0601,LMGP0601,fg
323.672660045906,LMGP0601,LMGP0601,fg
282.781219522285,LMGP0601,LMGP0601,fg
326.979833362701,LMGP0601,LMGP0601,fg
312.121850705865,LMGP0601,LMGP0601,fg
331.758277092221,LMGP0601,LMGP0601,fg
303.663858671739,LMGP0601,LMGP0601,fg
291.51442578401,LMGP0601,LMGP0601,fg
310.314010088129,LMGP0601,LMGP0601,fg
305.573811144343,LMGP0601,LMGP0601,fg
308.503204479725,LMGP0601,LMGP0601,fg
307.010878037529,LMGP0601,LMGP0601,fg
329.712505146151,LMGP0601,LMGP0601,fg
314.727362069139,LMGP0601,LMGP0601,fg
302.575514019,LMGP0601,LMGP0601,fg
280.832033355872,LMGP0601,LMGP0601,fg
312.989298091971,LMGP0601,LMGP0601,fg
306.334878060369,LMGP0601,LMGP0601,fg
300.412746988321,LMGP0601,LMGP0601,fg
323.089042813793,LMGP0601,LMGP0601,fg
309.945948639959,LMGP0601,LMGP0601,fg
326.924515094102,LMGP0601,LMGP0601,fg
310.971065485042,LMGP0601,LMGP0601,fg
322.610221499262,LMGP0601,LMGP0601,fg
288.94601822763,LMGP0601,LMGP0601,fg
293.062998561239,LMGP0601,LMGP0601,fg
288.398032976214,LMGP0601,LMGP0601,fg
313.380485156966,LMGP0601,LMGP0601,fg
306.376679529974,LMGP0601,LMGP0601,fg
308.58170020779,LMGP0601,LMGP0601,fg
10.4955660592387,LMGP0301,LMGP0301,fg
303.866805160849,LMGP0601,LMGP0601,fg
316.780986512964,LMGP0601,LMGP0601,fg
316.047259504283,LMGP0601,LMGP0601,fg
288.54509579764,LMGP0601,LMGP0601,fg
296.840427225971,LMGP0601,LMGP0601,fg
302.012017633062,LMGP0601,LMGP0601,fg
294.343074997202,LMGP0601,LMGP0601,fg
299.987378804358,LMGP0601,LMGP0601,fg
323.358524171374,LMGP0601,LMGP0601,fg
298.678988240177,LMGP0601,LMGP0601,fg
303.834872657441,LMGP0601,LMGP0601,fg
300.656015975504,LMGP0601,LMGP0601,fg
293.961829964576,LMGP0601,LMGP0601,fg
302.990806224615,LMGP0601,LMGP0601,fg
300.003571214294,LMGP0601,LMGP0601,fg
298.374653423879,LMGP0601,LMGP0601,fg
312.330514032054,LMGP0601,LMGP0601,fg
304.514374317354,LMGP0601,LMGP0601,fg
307.607975871644,LMGP0601,LMGP0601,fg
301.95436225848,LMGP0601,LMGP0601,fg
304.66648461977,LMGP0601,LMGP0601,fg
312.322026295862,LMGP0601,LMGP0601,fg
285.545452063277,LMGP0601,LMGP0601,fg
291.642719925798,LMGP0601,LMGP0601,fg
308.383659034269,LMGP0601,LMGP0601,fg
300.826169187527,LMGP0601,LMGP0601,fg
23.1541281597356,LMGP0301,LMGP0301,fg
301.199058151088,LMGP0601,LMGP0601,fg
321.182916746463,LMGP0601,LMGP0601,fg
321.831741837418,LMGP0601,LMGP0601,fg
315.840237983196,LMGP0601,LMGP0601,fg
441.790948788954,LMGP0301,LMGP0301,fg
449.878108346682,LMGP0301,LMGP0301,fg
423.823250054903,LMGP0301,LMGP0301,fg
396.459363213781,LMGP0301,LMGP0301,fg
407.114046052179,LMGP0301,LMGP0301,fg
380.504237788753,LMGP0301,LMGP0301,fg
437.482019775665,LMGP0301,LMGP0301,fg
411.28487628419,LMGP0301,LMGP0301,fg
378.955332606561,LMGP0301,LMGP0301,fg
380.569692164301,LMGP0301,LMGP0301,fg
433.981389888231,LMGP0301,LMGP0301,fg
440.911045220824,LMGP0301,LMGP0301,fg
438.290705033954,LMGP0301,LMGP0301,fg
391.516824794181,LMGP0301,LMGP0301,fg
413.692152881532,LMGP0301,LMGP0301,fg
374.663688211043,LMGP0301,LMGP0301,fg
422.234180027666,LMGP0301,LMGP0301,fg
426.19732961408,LMGP0301,LMGP0301,fg
192.502790106168,LMGP0301,LMGP0301,fg
377.565748625235,LMGP0301,LMGP0301,fg
373.465266209637,LMGP0301,LMGP0301,fg
356.488295919058,LMGP0301,LMGP0301,fg
436.811767703436,LMGP0301,LMGP0301,fg
447.191773452177,LMGP0301,LMGP0301,fg
454.916239856689,LMGP0301,LMGP0301,fg
455.643821411972,LMGP0301,LMGP0301,fg
425.335856090351,LMGP0301,LMGP0301,fg
435.552650316756,LMGP0301,LMGP0301,fg
249.206215147732,LMGP0301,LMGP0301,fg
375.361622527677,LMGP0301,LMGP0301,fg
379.302976294019,LMGP0301,LMGP0301,fg
434.763510024771,LMGP0301,LMGP0301,fg
439.868024676212,LMGP0301,LMGP0301,fg
391.633739176821,LMGP0301,LMGP0301,fg
466.382637174003,LMGP0301,LMGP0301,fg
386.104186030666,LMGP0301,LMGP0301,fg
438.978862578688,LMGP0301,LMGP0301,fg
409.295793856913,LMGP0301,LMGP0301,fg
396.891505172904,LMGP0301,LMGP0301,fg
