Score,CandidateLipidClassType,SpectrumLipidClassType,ClassifierType,Type,SpectrumID
30.5678159300288,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec346
26.940467107107,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec346
16.153892345726,LMGP1002,LMGP0401,LMGP0401_sin,bg,spec346
22.5260044724819,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec347
18.216400714273,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec347
0.257309577716673,LMGP0404,LMGP0401,LMGP0401_sin,bg,spec347
53.6797499623001,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec348
30.4285160190654,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec348
29.6524509572545,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec348
4.49373419470197,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec348
3.87665337359839,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec348
98.7713791362629,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec349
47.6700158969343,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec350
30.8151060023692,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec350
23.9335739770203,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec350
2.87698422632182,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec350
2.43472834780163,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec350
98.111344577883,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec351
78.3296819171781,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec352
0.121392099517069,LMGL0501,LMGP0401,LMGP0401_sin,bg,spec352
72.6569385184438,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec353
58.1015821313642,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec353
58.1015821313642,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec353
12.2275832691962,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec353
0.184743169920749,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec353
67.4222915505388,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec354
57.723428355821,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec354
34.0555016702244,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec354
18.4389178433064,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec354
16.6607996034195,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec354
67.0433006742779,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec355
59.0740241667572,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec355
32.3162212879644,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec355
16.5012689154634,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec355
15.2855709209183,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec355
59.0535109484431,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec356
54.1903586233674,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec356
47.8636408084184,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec356
47.8636408084184,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec356
34.2203383412603,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec356
21.2846697008683,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec356
59.2361007227201,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec357
53.5114599556848,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec357
47.5249646768146,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec357
47.5249646768146,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec357
33.8675151817034,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec357
21.2397364704356,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec357
23.2865181171029,LMSP0108,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec358
2.34469592924678,LMGP0204,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec359
1.38357838530111,LMGP0204,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec360
37.5051294172437,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec361
36.4857625279128,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec362
24.2515400583742,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec363
24.1992880438561,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec363
13.0365658577445,LMGP1002,LMGP0401,LMGP0401_sin,bg,spec363
29.0179943201272,LMGP1002,LMGP0401,LMGP0401_sin,bg,spec364
29.0022970650158,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec364
26.5427913556723,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec364
22.1593052686624,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec365
7.91963707979296,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec365
2.55989372178569,LMGP0404,LMGP0401,LMGP0401_sin,bg,spec365
18.5115063824546,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec366
3.99983654366824,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec366
0.191172496188273,LMGP0404,LMGP0401,LMGP0401_sin,bg,spec366
45.9728373516958,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec367
32.4367911741918,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec367
23.6871225681464,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec367
3.37228238508695,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec367
3.34942076863806,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec367
117.356109703279,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec368
111.229773323488,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec369
79.694969572559,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec370
0.100760680481651,LMGL0501,LMGP0401,LMGP0401_sin,bg,spec370
65.9777562637989,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec371
58.080134376871,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec371
32.2822889083401,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec371
17.1493799333051,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec371
14.9724129071904,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec371
65.9626113187866,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec372
58.1712258423795,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec372
32.5926050757538,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec372
17.6784738858091,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec372
16.1289409488021,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec372
59.0038550299652,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec373
52.9865679545213,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec373
49.2534083324079,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec373
49.2534083324079,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec373
33.4111456033474,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec373
21.2890191446321,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec373
59.4610787642707,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec374
53.1580163202972,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec374
47.288952408196,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec374
47.288952408196,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec374
34.093540758311,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec374
21.280679144969,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec374
23.3284669255657,LMSP0108,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec375
55.6274030417669,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec376
54.8710569988407,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec376
50.6489244954309,LMGP0109,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec376
50.6489244954309,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec376
33.4164340989792,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec376
21.2443005326088,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec376
0.224915202890838,LMGP0204,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec377
37.9020949643524,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec378
36.8825764978371,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec379
31.2314819619199,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec380
27.7128612406098,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec380
24.1128275540774,LMGP1002,LMGP0401,LMGP0401_sin,bg,spec380
